Text,Group,Priority
Improve change log/history on TRS console,Change History,
Add statuses to change history alongside change reasons,Change History,
Remove 'Previous data' in change history when not relevant,Change History,
Review what items would / would not be in change history,Change History,
Redesign for better search/findability,Change History,
Review impact of displaying notes/change history in different tabs,Change History,
Explore updating change history event for completing change name/DoB task,Change History,
Review relationship between user access permissions and change history,Change History,
Add change history for deactivated record in Teach Pensions duplication resolution task,Change History (Blocked),
Review matched record journey and how triggered from other tasks,Record Merging (Priority),
"Merging record — on check answers, review use of 'change'",Record Merging (Priority),
Merge duplicate journeys across console,Record Merging (Priority),
Update manual checks — merging records is sometimes the required action,Record Merging (Priority),
Examine what happens when users update records at the same time,Record Merging (Priority),
Displaying routes/pro status data on compare records page,Record Merging (Priority),
Confirm how we should approach delete record function in TRS,Record Deletion,
"Understand blocked/in-progress requests, scope & unknowns",Task Visibility,
Search results — iterate designs from UR findings,Task Visibility,
Review/redesign filters across console,Task Visibility,
Review adding ability to identify access manager for a user / all users,Access Permissions,
Review impact of users holding multiple roles in TRS,Access Permissions,
General/vague managing of access permissions & opportunities,Access Permissions,
Use the term 'deactivated' over 'inactive' when managing user permissions,Access Permissions,
Exception thrown when creating route that removes QTS from in-progress person,Routes & Professional Statuses,
Routes — updates to dropdown list pages,Routes & Professional Statuses,
Routes — review content in change history,Routes & Professional Statuses,
Review ordering of summary card on routes and qualifications tab,Routes & Professional Statuses,
"Remove additional questions in journey to add ""QTLS + SET membership"" route to a record",Routes & Professional Statuses,
Review Alert scenarios where we show the 'get in touch with TRA' banner and block the action,Alerts,
Dynamic reason for deleting alert choices,Alerts,
Review create alert journey and implementation of conditional logic,Alerts,
Review names of alert types — do we need to update them?,Alerts,
Review making it clearer if removing end date reopens alerts,Alerts,
Design for DBS notes — redesign,Notes,
General/vague notes area,Notes,
Some services across TS need additional data not in teaching record — explore other data sources,Data Integration,
Make legacy data available in TRS console,Data Integration,
Make TRS central database for teacher workforce data in DfE,Data Integration,
Create .Net library for Google BigQuery integration,Data Integration,
Provide data to BigQuery & decommission Reporting DB,Data Integration,
Add rate limiting to web request events,Data Integration,
Review prev names migrated from DQT to TRS — clean/streamline data,Legacy — Names & Aliases,
Review how to handle aliases,Legacy — Names & Aliases,
Design to allow record manager users to delete/add prev name in console,Legacy — Names & Aliases,
Update potential duplicates to show prev names,Legacy — Names & Aliases,
Add missing H2 headers to options selection pages,General/Internal,
Determine frequency of explanatory text on use of 'Another Reason',General/Internal,
Review/redesign how back link works across console,General/Internal,
Post-MVP source of truth maps — missing designs and small changes required,General/Internal,
Review term 'end date' used in MQ journey — keep or replace?,General/Internal,
Console improvements — general,General/Internal,
Explore impact of allowing all fields to be edited on single page in personal details,General/Internal,
Investigate UR/UCD avenues — what feedback channels to provide,General UR Improvements,
Review users' understanding of checks outside of service,General UR Improvements,
Do we need to add authentication to TRS console sign-in process?,General UR Improvements,
Content audit recommendations,General UR Improvements,
Iterate Deactivate record to include date of death field,Done — Design Changes (Deactivate Record),
